Compound,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity,energy,energy_per_atom,volume
Al2CdTe4,0.991548649,0.849480568,1.095958486,1.044144282,-0.46416619,-0.042055417,-0.617728915,-0.733734834,0.147038834,0.238739611,0.861963009,1.04328441,-0.590405502,-0.52369997,1.234497401,1.947925177,0.822321372,1.118092394,-24.23285052,-3.461835789,236.5560193
Al2HgO4,-0.686468709,-1.116555012,1.095958486,-0.623756598,1.189198921,-0.448580253,0.873846278,0.538155674,-1.182232552,-1.607216116,-0.898979134,-0.53052703,0.333399184,-0.25866043,-0.058436389,-0.676575526,-0.003655265,0.694856897,-85.27871096,-6.091336497,157.0149398
Al2HgS4,-0.313575962,-0.401632982,1.095958486,-0.324447082,0.168090128,0.042746512,-0.104066745,-0.344301449,-0.47664774,-0.622706396,-0.123330374,0.245001508,0.053559322,-0.686309853,0.132802564,-0.460074497,0.091224282,0.699052492,-30.07480473,-4.296400676,163.7425339
Al2HgSe4,0.525432716,0.313289046,1.095958486,0.548895992,0.132470055,-0.00281299,-0.286446185,-0.505158329,-0.224653164,-0.278127993,0.121881461,0.542065918,-0.462145566,-0.515775199,1.162467664,0.066821243,0.326223634,0.729723664,-26.60005516,-3.80000788,188.8854491
Al2HgTe4,1.364441395,1.028211074,1.095958486,1.454833444,-0.40183106,-0.042055417,-0.509397412,-0.699126018,0.178538155,0.189514127,0.653015077,0.916501277,-0.620721487,-0.492273052,1.674238949,1.803997933,0.676274747,0.735092416,-23.03498148,-3.29071164,236.4782022
Al2MgO4,-1.478865794,-1.652746532,0.628062393,-1.444622724,1.01406689,-0.448580253,0.664394094,0.468478399,-1.497225775,-1.557990631,-0.499061948,-0.303956256,0.627564181,-0.308514439,-1.12051487,-0.446507291,0.242215684,1.334171576,-695.8277325,-7.100282984,953.7787837
Al2MgS4,-1.105973048,-0.937824504,0.628062393,-1.145313208,-0.007041905,0.042746512,-0.31351893,-0.413978724,-0.791640962,-0.573480907,0.276586812,0.471572283,0.347724319,-0.736163862,-0.929275917,-0.230006262,0.337095232,1.338367171,-135.8766198,-4.85273642,547.3746945
Al2MgSe4,-0.266964369,-0.222902476,0.628062393,-0.271970134,-0.042661978,-0.00281299,-0.495898371,-0.574835604,-0.539646382,-0.228902504,0.521798646,0.768636692,-0.167980568,-0.565629209,0.100389182,0.296889479,0.572094582,1.369038342,-29.75729645,-4.25104235,182.8411583
Al2O3,-1.478865794,-1.688492634,1.170821861,-1.442415619,1.211758302,-0.319960742,0.654338147,0.600507299,-1.468246396,-1.730279833,-0.595146948,-0.029429766,0.586987401,-0.302645306,-1.05678656,-0.449938573,0.622801524,1.479670643,-595.8368834,-7.447961042,757.8541648
Al2O4Sr,-1.175890438,-1.295285519,0.628062393,-1.149829858,0.907206666,-0.448580253,0.5179652,0.393490603,-1.018436078,-1.250331345,-0.42532887,-0.215290457,0.388700872,-0.277759926,-1.040201713,-0.471631747,0.275694453,0.811583999,-302.379083,-7.199501977,596.4967463
Al2O4Zn,-1.269113624,-1.474016026,1.095958486,-1.253340289,1.114990433,-0.448580253,0.795558593,0.52331958,-1.320829571,-1.681054349,-0.632868907,-0.360492288,0.416018571,-0.300173418,-0.634134067,-0.494961599,0.197937315,1.160985966,-93.87932467,-6.705666048,136.7323341
Al2S3,-1.08732841,-0.937824504,1.170821861,-1.128140627,0.139594068,0.195932361,-0.372470529,-0.32607268,-0.727382343,-0.696544624,0.21928425,0.784875199,0.293155546,-0.7516772,-0.855985659,-0.222612493,0.722425049,1.484076017,-587.6302956,-4.89691913,2266.240074
Al2S4Sr,-0.802997691,-0.580363489,0.628062393,-0.850520342,-0.113902126,0.042746512,-0.459947827,-0.488966521,-0.312851266,-0.265821621,0.35031989,0.560238082,0.10886101,-0.70540935,-0.84896276,-0.255130718,0.370574001,0.815779591,-287.8556909,-5.140280194,1338.830092
Al2S4Zn,-0.896220878,-0.759093997,1.095958486,-0.954030773,0.09388164,0.042746512,-0.18235443,-0.359137544,-0.615244759,-0.696544624,0.142779853,0.41503625,0.136178709,-0.727822842,-0.442895114,-0.27846057,0.292816863,1.165181561,-64.78325275,-4.627375196,256.6764626
Al2Se3,-0.206369298,-0.187156374,1.170821861,-0.211130399,0.102192991,0.148094884,-0.563968941,-0.494972404,-0.462788039,-0.334737301,0.476756676,1.096792829,-0.248334586,-0.572615815,0.225162695,0.330628034,0.969174367,1.516280748,-176.4373348,-4.41093337,902.5433772
Al2Se4Sr,0.036010987,0.134558539,0.628062393,0.022822733,-0.1495222,-0.00281299,-0.642327268,-0.649823401,-0.060856691,0.078756782,0.595531724,0.85730249,-0.40684388,-0.534874696,0.18070234,0.271765022,0.605573349,0.846450763,-64.05510342,-4.57536453,387.6724915
Al2Se4Zn,-0.057212199,-0.044171969,1.095958486,-0.080687699,0.058261566,-0.00281299,-0.36473387,-0.519994424,-0.363250179,-0.351966221,0.387991687,0.71210066,-0.379526179,-0.557288188,0.586769985,0.24843517,0.527816213,1.195852733,-28.5444466,-4.077778086,174.3451819
Al2SrTe4,0.875019666,0.849480568,0.628062393,0.928760185,-0.683823313,-0.042055417,-0.865278494,-0.84379109,0.342334633,0.546398902,1.12666534,1.231737849,-0.565419802,-0.51137255,0.692473625,2.008941713,0.955624465,0.851819518,-27.6002832,-3.9428976,239.4394056
Al2Te3,0.674589814,0.563511756,1.170821861,0.740103925,-0.458823178,0.106890334,-0.79806773,-0.698638478,-0.039437151,0.156286923,1.034446973,1.489949955,-0.414839304,-0.54793856,0.762522545,2.15466356,1.336728038,1.521917939,-153.3935999,-3.834839998,1465.793182
Al2Te4Zn,0.781796479,0.670750061,1.095958486,0.825249753,-0.476039547,-0.042055417,-0.587685097,-0.713962112,0.03994114,0.115675899,0.919125304,1.086536019,-0.538102101,-0.533786041,1.098541271,1.985611862,0.877867327,1.201221485,-24.56461757,-3.509231081,222.2333754
AlAs,-0.418452047,-0.312267729,0.908800049,-0.446396619,-0.477523717,-0.916774722,-0.752307965,-0.696350838,-0.599495096,-0.265821621,1.866866778,1.418801058,-0.104683457,-0.626161646,0.377748691,3.265164527,1.712244616,2.958189499,-72.59579423,-4.537237139,346.3225751
AlBr3,0.111754826,0.000510659,1.563854579,0.065987002,1.034103182,1.886725872,0.544900848,-0.409132856,-0.588470333,-0.405806597,-0.486127163,-0.513788966,-0.182222419,3.676948609,-0.377618164,0.206261976,-0.24966067,0.404526548,-52.48972107,-3.280607567,668.2647975
AlCl3,-0.989444064,-0.937824504,1.563854579,-1.020628072,1.345778831,2.150535487,0.999454297,-0.19066364,-0.919213214,-0.954978426,-0.773555539,-0.664369443,-0.173477423,0.168592756,-0.33318482,-0.283664922,-0.335180022,0.401955716,-30.61701603,-3.827127004,199.9027527
AlF3,-1.478865794,-1.876159667,1.563854579,-1.422761209,2.623648992,1.922319233,2.754576706,0.906027051,-1.845293281,-2.247147437,-1.133740174,-0.914261021,0.429927279,-0.053721066,-1.050736062,-0.837659183,-0.466155981,0.402387598,-376.2701682,-5.879221379,775.877837
AlI3,1.212953716,0.938845821,1.563854579,1.214938823,0.566589708,1.566490311,0.008125711,-0.650907682,-0.158504588,0.207973683,-0.11762143,-0.310073887,-0.636962194,1.890032976,0.482687015,0.575591483,-0.132957466,0.411959458,-43.97866822,-2.748666764,845.0596499
AlN,-1.478865794,-1.563381279,0.908800049,-1.439058398,0.415946477,-1.530934673,0.494024332,0.02526794,-1.260980858,-1.321092979,-0.220011566,0.541015058,0.724342133,-0.374906403,-1.032773646,-0.169348646,1.339207626,2.197865401,-29.77967434,-7.444918585,42.52728336
AlP,-1.152584641,-0.937824504,0.908800049,-1.162658073,-0.467134529,-0.961091946,-0.568965406,-0.619006223,-0.709742723,-0.502719273,0.296424784,1.056028187,0.408356289,-0.67188517,-0.852519228,-0.134174407,1.460253891,2.201032836,-36.16980244,-4.521225305,728.5350868
AlSb,0.315680546,0.313289046,0.908800049,0.317615599,-0.612583165,-0.735318373,-1.062271897,-0.824736479,-0.136455063,0.164901383,1.488156271,2.46873387,-0.246935387,-0.593101746,0.68342489,2.260186276,2.160410119,2.56570761,-63.78211917,-3.986382448,441.1686331
As2Cd3,1.131383428,1.063957176,0.646778238,1.06787299,-0.496224256,-1.33761387,-0.004036895,-0.844213063,0.295715635,0.164901383,0.975950168,-0.442964456,-0.904092662,-0.508714949,2.436997855,2.174763125,-0.523366696,0.974867894,-200.7610721,-2.509513401,2163.707422
As2Mg3,-0.630534796,-0.437379084,-1.31838535,-0.65487026,-0.969971243,-1.33761387,-0.428743765,-0.991500593,-0.894958736,0.164901383,1.778021031,-0.023856364,0.20407319,-0.586108737,-0.176817263,2.536555295,-0.104104528,2.051389645,-137.9852504,-3.449631261,970.889785
As2Zn3,0.250424316,0.313289046,0.646778238,0.148515966,-0.54609236,-1.33761387,0.122147139,-0.761167632,-0.154094683,-0.351966221,1.216031805,-0.261307698,-0.684418371,-0.551076449,1.86598211,2.333047199,-0.290073683,1.324010083,-442.9301605,-2.768313503,3390.625898
AsBaLi,0.206920162,0.313289046,-1.711418068,0.274058645,-1.609945242,-1.125449523,-1.324775839,1.405245601,0.598529118,1.02634739,1.201064532,0.770387352,1.664526336,-0.465158063,-0.224885108,1.682323782,0.325455662,0.154747438,-11.31732487,-3.772441623,83.02655598
AsBeLi,-1.206964833,-1.354862354,-1.711418068,-1.119763872,-1.138968705,-1.125449523,-0.604975756,1.763793563,-1.091934498,-0.509897991,1.95968308,1.219483226,2.924583047,-0.899494179,-0.574049261,1.678136372,1.642527181,1.999462827,-23.51561498,-3.919269163,87.28785273
AsBeNa,-0.989444064,-0.937824504,-1.711418068,-0.945394815,-1.173599333,-1.158051181,-0.649210944,0.525126387,-0.430448736,-0.079174987,1.847643247,0.888565164,1.094741283,-0.773605067,-0.483081705,1.644637097,1.230186359,2.568233233,-21.77689608,-3.62948268,114.9410426
AsCaLi,-0.771923296,-0.520786654,-1.711418068,-0.782216495,-1.533757861,-1.125449523,-1.16693317,1.486847021,0.054640822,0.566909518,1.35685227,0.510156836,2.008884831,-0.545136874,-0.636655108,1.727547803,0.446999187,1.999462827,-11.48442623,-3.828142077,74.57588197
AsCaNa,-0.554402528,-0.103748804,-1.711418068,-0.607847438,-1.568388489,-1.158051181,-1.211168358,0.248179846,0.716126584,0.997632522,1.244812438,0.179238775,0.17904307,-0.419247762,-0.545687552,1.694048529,0.034658365,2.568233233,-10.55778637,-3.519262123,84.58340769
AsCaRb,0.15253997,0.730326896,-1.711418068,0.070984806,-1.644575871,-1.186902741,-1.37959555,-0.625413054,1.83330254,1.787291364,1.165572021,0.038714297,-0.493349933,-0.313530791,-0.427198634,1.659711771,-0.207336728,1.731746737,-20.3551009,-3.392516817,214.7761509
AsCdNa,0.206920162,0.313289046,-0.619660519,0.177894366,-1.090485827,-1.158051181,-0.706794447,0.468210414,0.525030699,0.509479786,0.539119726,-0.337617954,-0.144327438,-0.415848381,0.945928265,1.506452588,-0.425644693,1.515553368,-32.1877422,-2.68231185,282.7238093
AsCs3,1.74316059,2.189959372,-2.202708965,1.752257142,-2.051485745,-1.013473508,-2.07577879,-0.263002776,4.648291947,3.45993236,-0.218127889,-0.549687802,-0.919134055,0.034756193,-0.487283439,0.574963371,-0.875574132,-0.197577038,-49.6283372,-2.067847383,1207.143563
AsGa,0.315680546,0.313289046,0.908800049,0.250145237,-0.269739951,-1.015179896,-0.748753732,-0.585828574,-0.53334652,-0.287357771,0.585563302,1.105226892,-0.715667155,-0.523619921,1.387425537,2.623234669,1.274536727,-0.018005208,-64.81247849,-4.050779906,350.8671166
AsHgK,1.294524005,1.147364747,-0.619660519,1.311200884,-1.021224572,-1.179667749,-0.593814785,-0.135007692,1.304113931,0.968917658,0.005117293,-0.722788671,-0.581188554,-0.291341434,1.948462163,1.148010344,-0.943737623,0.231930492,-14.27148486,-2.37858081,189.7105334
AsIn,1.04981314,0.938845821,0.908800049,0.984822515,-0.300907516,-1.015179896,-0.804679397,-0.693614977,-0.401049368,0.121829083,0.843294606,0.886806266,-0.878907075,-0.483835974,1.830498461,2.330534754,0.900204505,0.603298167,-61.20529474,-3.825330921,433.1404513
AsK3,-0.459237191,0.313289046,-2.202708965,-0.540757343,-2.004734398,-0.9822351,-1.899777536,0.569802738,2.399240357,2.2323718,-0.111447156,-0.406957491,-0.0183995,-0.184615858,-0.970850581,0.620187393,-0.702456504,1.314008614,-18.56237321,-2.320296651,309.0687343
AsKZn,-0.064980799,0.313289046,-0.619660519,-0.157827727,-1.19437771,-1.179667749,-0.77648605,-0.169625246,0.980720889,0.796628456,0.626041156,-0.326040939,-0.388409984,-0.388205076,0.605167581,1.571776174,-0.473354936,1.319564985,-16.9198204,-2.819970067,164.5281548
AsLa,1.376094293,1.564402597,-0.728836274,1.377584768,-1.007372321,-0.875598089,-0.859690832,-1.205486533,0.701426902,1.241708892,2.394534068,2.440620324,-0.923215053,-0.463103494,1.463687022,2.699864261,3.082696172,-0.428671586,-12.7282936,-6.3641468,59.47836855
AsLi3,-1.43808065,-1.563381279,-2.202708965,-1.326909292,-1.755393879,-0.86024409,-1.485712212,4.895740905,-0.676668435,-0.028923969,0.245171295,0.538630813,4.92252306,-0.583015675,-1.122585725,0.746437786,0.624274662,0.911676794,-26.46606881,-3.308258601,129.5223502
AsLiMg,-0.989444064,-0.937824504,-1.711418068,-0.953554275,-1.31904797,-1.125449523,-0.898507519,1.625051184,-0.797940825,0.078756782,1.096754482,0.226137937,2.301162022,-0.584734042,-0.597158802,1.740947512,0.219619557,1.544850601,-10.40323517,-3.467745057,59.96784252
AsLiZn,-0.500022335,-0.520786654,-0.619660519,-0.507228593,-1.083559702,-1.125449523,-0.592457017,1.75301394,-0.386349685,-0.208391888,0.784538245,0.094220529,1.807555598,-0.565271661,0.537729739,1.627887459,0.116303359,1.140750843,-9.39868952,-3.132896507,53.42092978
AsMgNa,-0.771923296,-0.520786654,-1.711418068,-0.779185217,-1.353678598,-1.158051181,-0.942742708,0.386384009,-0.136455063,0.509479786,0.98471465,-0.104780124,0.471320258,-0.45884493,-0.506191246,1.707448238,-0.192721266,2.113621007,-18.97681324,-3.162802207,140.818505
AsNa3,-0.94865892,-0.625046117,-2.202708965,-0.934578914,-1.833312791,-0.933597819,-1.585241386,2.10873976,0.811674529,0.940202789,-0.006918325,-0.205934825,0.805379093,-0.299765172,-0.917908724,0.671064417,-0.303492189,2.191410211,-61.71706863,-2.571544526,613.2367827
AsNaSr,-0.064980799,0.313289046,-1.711418068,-0.091335196,-1.603019117,-1.158051181,-1.284410133,0.211412484,0.980720889,1.22735146,1.156758499,0.10210674,-0.086027466,-0.387084401,-0.318793878,1.648824508,-0.114604142,0.894249992,-30.84934236,-3.427704707,248.9616518
AsNaZn,-0.282501567,-0.103748804,-0.619660519,-0.332859536,-1.118190328,-1.158051181,-0.636692205,0.514346764,0.275136076,0.222331115,0.672498414,-0.236697532,-0.022286165,-0.439382548,0.628697295,1.594388185,-0.296037463,1.709521251,-17.01219127,-2.835365212,125.7649437
AsRb3,0.641961699,1.251624209,-2.202708965,0.592793634,-2.004734398,-0.998513828,-1.964202568,0.143155735,3.325320424,2.716935179,-0.185209263,-0.522114901,-0.707505159,-0.061901991,-0.651308658,0.593806714,-0.847981147,0.309315595,-17.20402278,-2.150502848,360.5397902
AsSc,-0.092170894,0.313289046,-0.728836274,-0.153373162,-0.737253425,-1.093345708,-0.601103472,-1.091414529,0.084040191,0.487943636,3.656414742,1.761570061,-0.488297268,-0.552197124,0.46756077,3.930962619,1.888638123,-0.393817982,-13.73724377,-6.868621885,41.35711538
AsY,0.641961699,0.938845821,-0.728836274,0.562888293,-0.882702061,-1.010294532,-0.69149966,-1.129144521,0.458882123,0.854058189,3.617806476,2.311946787,-0.803117112,-0.495603057,0.936159231,3.353100124,2.625710993,-0.372602745,-14.22770781,-7.113853905,49.69967332
Ba3P2,0.935614737,1.314179886,-1.31838535,0.981823832,-1.485274983,-1.373067649,-1.049352693,-1.325274949,1.530489057,1.681046356,0.709425526,0.665574286,-0.531439246,-0.407450794,-0.490938949,-0.288438569,-0.11519212,-1.056521378,-172.0880361,-4.302200902,1455.558468
BaBr2,1.131383428,1.147364747,0.25374552,1.120849718,0.301665406,1.341426279,0.154256105,-0.824823633,0.642628169,0.796628456,-0.16973209,-0.556283672,-0.638711193,3.340652843,-0.229507016,0.082733399,-0.934917947,-1.205613982,-47.46766384,-3.955638653,430.3622241
BaCl2,0.15253997,0.313289046,0.25374552,0.154969653,0.578710427,1.575923714,0.558303615,-0.630628776,0.348634496,0.308475716,-0.425223979,-0.690132985,-0.630937865,0.222114306,-0.19001071,-0.352757177,-1.010935149,-1.207899166,-52.88286754,-4.406905628,369.7118331
BaF2,-0.282501567,-0.520786654,0.25374552,-0.202482025,1.714595016,1.373064822,2.118412421,0.344207395,-0.474547787,-0.840118957,-0.7453881,-0.912258832,-0.09457813,0.02450202,-0.827834036,-0.84519652,-1.127358224,-1.207515273,-68.75284812,-5.72940401,224.8685489
BaF3Li,-0.891559719,-1.188047214,-0.139287198,-0.795215133,1.323961535,1.229295561,1.709719047,1.846509337,-0.877319116,-1.075580867,-0.933100131,-0.836696829,1.384531007,-0.071607032,-1.12661939,-0.966798888,-0.862549235,-0.768517259,-26.89029715,-5.37805943,66.56181443
BaGa2O4,-0.546633929,-0.759093997,0.628062393,-0.520478984,1.008130211,-0.50481178,0.483738665,0.437431586,-0.860939467,-1.164186744,-1.186531056,-0.249891745,0.005586773,-0.198672319,-0.384010803,-0.838448808,0.037455221,-0.962269613,-1039.227468,-6.185877787,2714.61096
BaGa2S4,-0.173741183,-0.044171969,0.628062393,-0.221169468,-0.012978582,-0.013485016,-0.494174363,-0.445025537,-0.155354655,-0.17967702,-0.410882296,0.525636795,-0.274253088,-0.626321743,-0.19277185,-0.621947779,0.132334769,-0.958074018,-392.7966004,-4.676150005,2116.98933
BaGa2Se4,0.665267496,0.670750061,0.628062393,0.652173606,-0.048598658,-0.059044518,-0.676553803,-0.605882417,0.096639921,0.164901383,-0.165670461,0.822701203,-0.789957976,-0.45578709,0.836893249,-0.095052039,0.367334119,-0.927402847,-59.20653482,-4.229038201,425.8814394
BaGa2Te4,1.504276174,1.385672089,0.628062393,1.558111058,-0.58289977,-0.098286946,-0.89950503,-0.799850106,0.49983124,0.632543503,0.365463155,1.197136562,-0.948533898,-0.432284942,1.348664535,1.642124652,0.717385235,-0.922034091,-26.04310287,-3.720443267,254.2066379
BaI2,2.110226887,1.981440446,0.25374552,2.142140227,-0.113902126,1.056772447,-0.32287735,-1.03973459,1.02481994,1.342210925,0.157828561,-0.375203602,-1.042924326,1.752283391,0.535208698,0.411026294,-0.831181765,-1.199006951,-41.44369353,-3.453641128,530.2677523
BaIn2O4,-0.12712959,-0.401632982,0.628062393,-0.100663396,0.990320173,-0.50481178,0.451781139,0.375839356,-0.785341095,-0.930365682,-1.039256024,-0.374703532,-0.08769318,-0.175938635,-0.130826275,-1.005705903,-0.176448905,-0.607239113,-644.249223,-5.752225206,1730.075612
BaIn2S4,0.245763156,0.313289046,0.628062393,0.19864612,-0.03078862,-0.013485016,-0.526131886,-0.506617767,-0.079756283,0.054144038,-0.263607265,0.400825008,-0.367533042,-0.603588058,0.060412678,-0.789204874,-0.081569358,-0.603043518,-252.1851105,-4.503305545,1639.761279
BaIn2Se4,1.084771835,1.028211074,0.628062393,1.071989194,-0.066408694,-0.059044518,-0.708511326,-0.667474647,0.172238293,0.398722441,-0.01839543,0.697889416,-0.88323793,-0.433053405,1.090077777,-0.262309134,0.153429993,-0.572372347,-229.2015424,-4.092884686,1850.414027
BaIn2Te4,1.923780513,1.743133104,0.628062393,1.977926645,-0.600709806,-0.098286946,-0.931462553,-0.861442336,0.575429612,0.866364561,0.512738186,1.072324775,-1.041813852,-0.409551258,1.601849063,1.474867556,0.503481109,-0.567003591,-50.89898185,-3.635641561,555.5746161
BaKP,0.15253997,0.730326896,-1.711418068,0.145951875,-1.713837125,-1.209212566,-1.386576499,-0.465830506,1.892101273,1.873435965,-0.004393887,0.108277302,-0.189412748,-0.318573827,-0.977625878,-0.64001346,-0.432196451,-0.171209528,-9.18418518,-3.06139506,99.86253209
BaLa2O4,0.059316784,-0.044171969,-0.30772979,0.123772177,0.586625999,-0.425050748,0.420346036,0.083341324,-0.155354655,-0.290434365,-0.152833474,0.513190216,-0.113012025,-0.164091503,-0.340432812,-0.79466047,1.07068919,-1.196936113,-321.2004642,-7.647630099,848.1410231
BaLa2S4,0.43220953,0.670750061,-0.30772979,0.423081693,-0.434482793,0.066276016,-0.557566991,-0.799115799,0.550230158,0.694075359,0.622815285,1.288718754,-0.392851887,-0.591740927,-0.149193859,-0.578159441,1.165568738,-1.192740518,-86.73303724,-6.195216946,360.4522715
BaLa2Se4,1.271218208,1.385672089,-0.30772979,1.296424767,-0.470102867,0.020716515,-0.739946432,-0.959972679,0.802224733,1.038653762,0.868027119,1.585783164,-0.908556775,-0.421206274,0.88047124,-0.051263701,1.400568089,-1.162069347,-80.038642,-5.717045857,404.6327359
BaLiP,-0.282501567,-0.103748804,-1.711418068,-0.203448991,-1.603019117,-1.15499434,-1.202547466,1.456808679,0.525030699,0.868415621,0.154103203,0.52853877,2.006552833,-0.495640412,-1.04506372,-0.583902174,0.157461844,-0.350023671,-23.94282751,-3.990471252,155.6618307
BaLiSb,0.696341892,0.730326896,-1.711418068,0.783400124,-1.699984874,-1.004478623,-1.53141846,1.319655175,0.907222474,1.313496061,0.948590861,1.470342559,1.569691716,-0.443118131,-0.021100975,1.01233828,0.624232662,-0.106907154,-21.58517653,-3.597529422,194.6270462
BaNaP,-0.064980799,0.313289046,-1.711418068,-0.029079934,-1.637649744,-1.187595996,-1.246782655,0.218141503,1.186516461,1.299138624,0.042063371,0.197620709,0.176711071,-0.3697513,-0.954096164,-0.617401449,-0.254878978,0.218746738,-32.90170156,-3.655744618,260.8908926
BaNaSb,0.91386266,1.147364747,-1.711418068,0.957769181,-1.734615502,-1.037080281,-1.575653649,0.080987999,1.568708236,1.744219064,0.836551029,1.139424497,-0.260150048,-0.317229018,0.069866581,0.978839006,0.211891841,0.461863252,-9.28031315,-3.093437717,107.699898
BaO,0.315680546,0.313289046,-0.728836274,0.391278893,0.083492452,-0.770129029,0.050131483,-0.191302226,0.525030699,0.294118284,-0.102384374,-0.173898358,-0.225947397,-0.143823303,-0.721425105,-0.52586468,-0.550494757,-1.114730836,-188.6070082,-5.893969007,708.0457928
BaO4Sc2,-0.779691895,-0.759093997,-0.30772979,-0.751060926,0.740979654,-0.549477959,0.568110237,0.148525326,-0.508147061,-0.721157369,0.568241196,0.125161496,0.135512424,-0.215002149,-0.909647813,-0.091175695,0.388370304,-1.17701977,-344.7193013,-8.207602413,605.0137046
BaO4Y2,-0.360187556,-0.401632982,-0.30772979,-0.341768666,0.657866147,-0.502020144,0.516455272,0.126965331,-0.293951674,-0.511949051,0.54617933,0.439662481,-0.044384629,-0.182662683,-0.641877264,-0.421382834,0.809554801,-1.164896777,-229.9675217,-8.213125775,449.5460108
BaS,0.641961699,0.938845821,-0.728836274,0.653174719,-0.809977743,-0.34021811,-0.805542414,-0.963452209,1.14241741,1.155564291,0.576308291,0.504689113,-0.470807276,-0.518016549,-0.554091021,-0.33642628,-0.467475153,-1.111059691,-10.21249155,-5.106245775,67.3095961
BaS4Y2,0.012705191,0.313289046,-0.30772979,-0.04245915,-0.363242646,-0.01069338,-0.461457751,-0.755491793,0.411633139,0.472560669,1.32182809,1.215191018,-0.324224491,-0.610312106,-0.450638311,-0.204881805,0.904434349,-1.160701182,-185.5236554,-6.625844834,731.3699128
BaSc2Te4,1.271218208,1.385672089,-0.30772979,1.327529116,-0.850050326,-0.142953124,-0.815133453,-1.088756367,0.852623646,1.075572874,2.120235405,1.5721898,-0.818608247,-0.448614773,0.823027525,2.389397765,1.068300318,-1.136784248,-147.8890069,-5.281750245,914.3995926
BaSe,1.376094293,1.564402597,-0.728836274,1.417349909,-0.841145308,-0.380082674,-0.965124425,-1.10420198,1.362912664,1.457070394,0.790868646,0.764620471,-0.922049053,-0.368798727,0.346865941,0.124607493,-0.261850722,-1.084222416,-9.51033231,-4.755166155,74.7411337
BaTe,2.110226887,2.189959372,-0.728836274,2.21004518,-1.308658781,-0.414419798,-1.160206748,-1.273923707,1.71570507,1.866257247,1.25561056,1.09225141,-1.060802985,-0.348234348,0.794665816,1.644637097,0.044444004,-1.079524756,-8.64734519,-4.323672595,89.09109456
